"tokens"	"types"	"partOfSpeech"	"morph"
"77"	"Dabei"	"dabei"	"PROP"	"--"
"266"	"Dacapo"	"Dacapo"	"NE"	"nsm"
"137"	"Damit"	"damit"	"PROP"	"--"
"407"	"darunter"	"darunter"	"PROP"	"--"
"7"	"das"	"das"	"PDS"	"asn"
"161"	"das"	"das"	"ART"	"nsn"
"372"	"das"	"das"	"PDS"	"asn"
"440"	"Das"	"das"	"ART"	"nsn"
"570"	"David"	"David"	"NE"	"dsm"
"191"	"dem"	"das"	"ART"	"dsn"
"577"	"dem"	"das"	"ART"	"dsn"
"29"	"den"	"der"	"ART"	"dpm"
"92"	"den"	"der"	"ART"	"asm"
"187"	"den"	"der"	"ART"	"dpm"
"222"	"den"	"der"	"ART"	"dpm"
"339"	"denn"	"denn"	"ADV"	"--"
"31"	"der"	"die"	"ART"	"gsf"
"41"	"der"	"die"	"ART"	"dsf"
"94"	"der"	"das"	"ART"	"gpn"
"173"	"der"	"die"	"ART"	"gsf"
"230"	"der"	"das"	"ART"	"gpn"
"234"	"der"	"das"	"ART"	"gpn"
"305"	"der"	"das"	"ART"	"gpn"
"437"	"der"	"die"	"ART"	"gsf"
"548"	"der"	"der"	"PRELS"	"nsm"
"256"	"deren"	"dessen|deren"	"PRELAT"	"gp*"
"280"	"deren"	"dessen|deren"	"PRELAT"	"gp*"
"2"	"des"	"das"	"ART"	"gsn"
"119"	"des"	"der"	"ART"	"gsm"
"541"	"des"	"das"	"ART"	"gsn"
"269"	"Deutsche"	"deutsch"	"ADJA"	"nsf"
"361"	"didaktisch"	"didaktisch"	"ADJD"	"--"
"73"	"die"	"die"	"ART"	"nsf"
"89"	"die"	"der|die|das"	"PRELS"	"np*"
"182"	"die"	"die"	"ART"	"nsf"
"232"	"die"	"die"	"ART"	"asf"
"243"	"die"	"die"	"ART"	"nsf"
"268"	"die"	"die"	"ART"	"nsf"
"301"	"die"	"der|die|das"	"ART"	"ap*"
"314"	"die"	"die"	"ART"	"nsf"
"320"	"die"	"die"	"ART"	"npf"
"333"	"die"	"die"	"ART"	"nsf"
"431"	"die"	"das"	"ART"	"apn"
"435"	"die"	"die"	"ART"	"asf"
"486"	"die"	"der|die|das"	"PRELS"	"np*"
"539"	"die"	"die"	"ART"	"nsf"
"583"	"die"	"der|die|das"	"PRELS"	"np*"
"584"	"die"	"die"	"ART"	"asf"
"106"	"Die"	"die"	"ART"	"nsf"
"329"	"Die"	"die"	"ART"	"nsf"
"389"	"doch"	"doch"	"ADV"	"--"
"251"	"dort"	"dort"	"ADV"	"--"
"272"	"dort"	"dort"	"ADV"	"--"
"450"	"drei"	"drei"	"CARD"	"--"
"59"	"ebenso"	"ebenso"	"ADV"	"--"
"25"	"ein"	"ein"	"ART"	"asn"
"102"	"ein"	"ein"	"ART"	"asn"
"206"	"Ein"	"ein"	"ART"	"nsn"
"536"	"Ein"	"ein"	"ART"	"nsn"
"114"	"eine"	"eine"	"ART"	"asf"
"171"	"eine"	"eine"	"ART"	"nsf"
"143"	"einen"	"ein"	"ART"	"asm"
"350"	"eines"	"eines"	"PIS"	"asn"
"367"	"Empfinden"	"Empfinden"	"NN"	"asn"
"581"	"engagiert"	"engagieren"	"VVPP"	"--"
"442"	"Ensemble"	"Ensemble"	"NE"	"nsn"
"578"	"Ensemble"	"Ensemble"	"NE"	"dsn"
"203"	"erfinderisch"	"erfinderisch"	"ADJD"	"--"
"224"	"erlaubten"	"erlauben"	"VVFIN"	"3pit"
"79"	"es"	"es"	"PPER"	"nsn3"
"150"	"es"	"es"	"PPER"	"nsn3"
"225"	"es"	"es"	"PPER"	"asn3"
"277"	"es"	"es"	"PPER"	"nsn3"
"403"	"es"	"es"	"PPER"	"nsn3"
"480"	"Es"	"es"	"PPER"	"****"
"199"	"Etat"	"Etat"	"NN"	"asm"
"65"	"Etwa"	"etwa"	"ADV"	"--"
"370"	"fördern"	"fördern"	"VVINF"	"--"
"51"	"für"	"für"	"APPR"	"a"
"214"	"für"	"für"	"APPR"	"a"
"449"	"für"	"für"	"APPR"	"a"
"563"	"für"	"für"	"APPR"	"a"
"430"	"Für"	"für"	"APPR"	"a"
"39"	"Fabrikgebäude"	"Fabrikgebäude"	"NN"	"dsn"
"472"	"Feldman"	"Feldman"	"NE"	"dsm"
"26"	"Festival"	"Festival"	"NN"	"asn"
"344"	"Festival"	"Festival"	"NN"	"asn"
"250"	"Festivals"	"Festival"	"NN"	"dpn"
"177"	"finanzieller"	"finanziell"	"ADJA"	"gsf"
"44"	"Findorff"	"Findorff"	"NE"	"dsn"
"58"	"Firmen"	"Firma"	"NN"	"npf"
"103"	"Forum"	"Forum"	"NN"	"asn"
"454"	"Fr."	"Fr."	"NN"	"nsm"
"474"	"Fr."	"Fr."	"NN"	"nsm"
"441"	"Freiburger"	"Freiburger"	"ADJA"	"***"
"585"	"Freude"	"Freude"	"NN"	"asf"
"20"	"gönnt"	"gönnen"	"VVFIN"	"3sis"
"50"	"Galerie"	"Galerie"	"NN"	"asf"
"174"	"Galerie"	"Galerie"	"NN"	"gsf"
"24"	"Galeriejubiläum"	"Galeriejubiläum"	"NN"	"dsn"
"74"	"Galeristin"	"Galeristin"	"NN"	"nsf"
"341"	"ganz"	"ganz"	"ADV"	"--"
"588"	"garantieren"	"garantieren"	"VVFIN"	"3pis"
"284"	"garantierten"	"garantieren"	"VVFIN"	"3pit"
"253"	"Gast"	"Gast"	"NN"	"dsm"
"413"	"Geiger"	"Geiger"	"NE"	"dsm"
"145"	"gemacht"	"machen"	"VVPP"	"--"
"492"	"gemacht"	"machen"	"VVPP"	"--"
"116"	"gespielt"	"spielen"	"VVPP"	"--"
"374"	"Gespräch"	"Gespräch"	"NN"	"dsn"
"402"	"gibt"	"geben"	"VVFIN"	"3sis"
"416"	"Girke"	"Girke"	"NE"	"dsm"
"157"	"Gründen"	"Grund"	"NN"	"dpm"
"428"	"Greis"	"Greis"	"NE"	"dsm"
"14"	"hören"	"hören"	"VVINF"	"--"
"296"	"Hören"	"Hören"	"NN"	"dsn"
"587"	"Hören"	"Hören"	"NN"	"dsn"
"98"	"haben"	"haben"	"VAFIN"	"3pis"
"326"	"haben"	"haben%aux"	"VAFIN"	"3pis"
"493"	"haben"	"haben%aux"	"VAFIN"	"3pis"
"45"	"hat"	"haben%aux"	"VAFIN"	"3sis"
"109"	"hat"	"haben%aux"	"VAFIN"	"3sis"
"138"	"hat"	"haben%aux"	"VAFIN"	"3sis"
"312"	"hat"	"haben%aux"	"VAFIN"	"3sis"
"433"	"hat"	"haben"	"VAFIN"	"3sis"
"506"	"Haubenstock-Ramati"	"Haubenstock-Ramati"	"NE"	"nsm"
"514"	"Helmut"	"Helmut"	"NE"	"nsm"
"545"	"Helmut"	"Helmut"	"NE"	"dsm"
"56"	"Heute"	"heute"	"ADV"	"--"
"503"	"Huber"	"Huber"	"NE"	"nsm"
"558"	"Huber"	"Huber"	"NE"	"nsm"
"10"	"ich"	"ich"	"PPER"	"ns*1"
"5"	"Ich"	"ich"	"PPER"	"ns*1"
"183"	"Idee"	"Idee"	"NN"	"nsf"
"315"	"Idee"	"Idee"	"NN"	"nsf"
"61"	"ihr"	"sie"	"PPER"	"dsf3"
"80"	"ihr"	"sie"	"PPER"	"dsf3"
"343"	"ihr"	"ihr"	"PPOSAT"	"asn"
"49"	"ihre"	"ihre"	"PPOSAT"	"asf"
"127"	"ihren"	"ihre"	"PPOSAT"	"dpf"
"248"	"ihren"	"ihr"	"PPOSAT"	"dpn"
"292"	"ihren"	"ihr"	"PPOSAT"	"asm"
"123"	"ihrer"	"ihr|ihre"	"PPOSAT"	"gp*"
"163"	"ihres"	"ihr"	"PPOSAT"	"gsm"
"37"	"im"	"in"	"APPRART"	"dsn"
"228"	"im"	"in"	"APPRART"	"dsm"
"373"	"im"	"in"	"APPRART"	"dsn"
"83"	"immer"	"immer"	"ADV"	"--"
"113"	"immer"	"immer"	"ADV"	"--"
"218"	"immer"	"immer"	"ADV"	"--"
"310"	"immer"	"immer"	"ADV"	"--"
"226"	"immerhin"	"immerhin"	"ADV"	"--"
"28"	"in"	"in"	"APPR"	"d"
"43"	"in"	"in"	"APPR"	"d"
"186"	"in"	"in"	"APPR"	"d"
"358"	"in"	"in"	"APPR"	"d"
"162"	"Interesse"	"Interesse"	"NN"	"nsn"
"278"	"Interpreten"	"Interpret"	"NN"	"npm"
"380"	"InterpretInnen"	"InterpretIn"	"NN"	"dp*"
"359"	"irgendeiner"	"irgendeine"	"PIAT"	"dsf"
"78"	"ist"	"sein"	"VAFIN"	"3sis"
"125"	"ist"	"sein"	"VAFIN"	"3sis"
"242"	"ist"	"sein"	"VAFIN"	"3sis"
"331"	"ist"	"sein"	"VAFIN"	"3sis"
"249"	"jährlichen"	"jährlich"	"ADJA"	"dpn"
"69"	"Jahr"	"Jahr"	"NN"	"asn"
"231"	"Jahre"	"Jahr"	"NN"	"gpn"
"397"	"Jahren"	"Jahr"	"NN"	"dpn"
"418"	"Jerry"	"Jerry"	"NE"	"dsm"
"487"	"jetzt"	"jetzt"	"ADV"	"--"
"101"	"KünstlerInnen"	"KünstlerIn"	"NN"	"dp*"
"124"	"KünstlerInnen"	"KünstlerIn"	"NN"	"gp*"
"257"	"KünstlerInnen"	"KünstlerIn"	"NN"	"dp*"
"410"	"KünstlerInnen"	"KünstlerIn"	"NN"	"dp*"
"223"	"Künstlern"	"Künstler"	"NN"	"dpm"
"195"	"Kammermusik"	"Kammermusik"	"NN"	"asf"
"270"	"Kammerphilharmonie"	"Kammerphilharmonie"	"NN"	"nsf"
"18"	"Katrin"	"Katrin"	"NE"	"nsf"
"46"	"Katrin"	"Katrin"	"NE"	"nsf"
"111"	"Katrin"	"Katrin"	"NE"	"dsf"
"260"	"Katrin"	"Katrin"	"NE"	"dsf"
"288"	"Katrin"	"Katrin"	"NE"	"nsf"
"348"	"Katrin"	"Katrin"	"NE"	"nsf"
"57"	"kaufen"	"kaufen"	"VVFIN"	"3pis"
"30"	"Kellerräumen"	"Kellerraum"	"NN"	"dpm"
"118"	"Kern"	"Kern"	"NN"	"nsm"
"557"	"Klaus"	"Klaus"	"NE"	"nsm"
"564"	"Klavier"	"Klavier"	"NN"	"asn"
"398"	"kommen"	"kommen"	"VVINF"	"--"
"551"	"kommt"	"kommen"	"VVFIN"	"3sis"
"108"	"Komponente"	"Komponente"	"NN"	"nsf"
"378"	"KomponistInnen"	"KomponistIn"	"NN"	"dp*"
"483"	"KomponistInnen"	"KomponistIn"	"NN"	"np*"
"287"	"konnte"	"können%aux"	"VMFIN"	"3sit"
"132"	"Konzentration"	"Konzentration"	"NN"	"nsf"
"235"	"Konzerte"	"Konzert"	"NN"	"gpn"
"273"	"Konzerte"	"Konzert"	"NN"	"apn"
"432"	"Konzerte"	"Konzert"	"NN"	"apn"
"354"	"Korrespondenzen"	"Korrespondenz"	"NN"	"apf"
"172"	"Krise"	"Krise"	"NN"	"nsf"
"53"	"Kunst"	"Kunst"	"NN"	"asf"
"515"	"Lachenmann"	"Lachenmann"	"NE"	"nsm"
"528"	"Lachenmann"	"Lachenmann"	"NE"	"nsm"
"546"	"Lachenmann"	"Lachenmann"	"NE"	"dsm"
"181"	"lag"	"nahe#liegen"	"VVFIN"	"3sit"
"290"	"langsam"	"langsam"	"ADJD"	"--"
"342"	"lapidar"	"lapidar"	"ADJD"	"--"
"229"	"Laufe"	"Lauf"	"NN"	"dsm"
"542"	"letzten"	"letzt"	"ADJA"	"gsn"
"574"	"Levine"	"Levine"	"NE"	"dsf"
"33"	"Lothringer"	"Lothringer"	"ADJA"	"***"
"107"	"mäzenatische"	"mäzenatisch"	"ADJA"	"nsf"
"15"	"möchte"	"mögen%aux"	"VMFIN"	"1skt"
"6"	"mach"	"machen"	"VVFIN"	"1sis"
"334"	"Malerei"	"Malerei"	"NN"	"nsf"
"376"	"MalerInnen"	"MalerIn"	"NN"	"dp*"
"294"	"MalerInnen-Kundenstamm"	"MalerInnen-Kundenstamm"	"NN"	"asm"
"424"	"Malte"	"Malte"	"NE"	"dsm"
"201"	"man"	"man"	"PIS"	"ns*"
"434"	"man"	"man"	"PIS"	"ns*"
"164"	"Mannes"	"Mann"	"NN"	"gsm"
"311"	"mehr"	"mehr"	"ADV"	"--"
"190"	"mit"	"mit"	"APPR"	"d"
"221"	"mit"	"mit"	"APPR"	"d"
"247"	"mit"	"mit"	"APPR"	"d"
"375"	"mit"	"mit"	"APPR"	"d"
"566"	"Mit"	"mit"	"APPR"	"d"
"323"	"miteinander"	"miteinander"	"ADV"	"--"
"471"	"Morton"	"Morton"	"NE"	"dsm"
"200"	"muß"	"müssen%aux"	"VMFIN"	"3sis"
"246"	"musik"	"Musik"	"NN"	"nsf"
"169"	"Musik"	"Musik"	"NN"	"dsf"
"298"	"Musik"	"Musik"	"NN"	"dsf"
"330"	"Musik"	"Musik"	"NN"	"nsf"
"448"	"Musik"	"Musik"	"NN"	"nsf"
"302"	"MusikerInnen"	"MusikerIn"	"NN"	"ap*"
"580"	"MusikerInnen"	"MusikerIn"	"NN"	"np*"
"490"	"Musikgeschichte"	"Musikgeschichte"	"NN"	"asf"
"126"	"nach"	"nach"	"APPR"	"d"
"395"	"nach"	"nach"	"APPR"	"d"
"184"	"nahe"	"--"	"PTKVZ"	"--"
"144"	"Namen"	"Name"	"NN"	"asm"
"281"	"Namen"	"Name"	"NN"	"npm"
"178"	"Natur"	"Natur"	"NN"	"gsf"
"576"	"neben"	"neben"	"APPR"	"d"
"337"	"nennt"	"nennen"	"VVFIN"	"3sis"
"245"	"neue"	"neu"	"ADJA"	"nsf"
"90"	"nicht"	"nicht"	"PTKNEG"	"--"
"151"	"nicht"	"nicht"	"PTKNEG"	"--"
"351"	"nicht"	"nicht"	"PTKNEG"	"--"
"384"	"nicht"	"nicht"	"PTKNEG"	"--"
"530"	"Nono"	"Nono"	"NE"	"nsm"
"192"	"Oberlicht"	"Oberlicht"	"NN"	"dsn"
"198"	"Ohne"	"ohne"	"APPR"	"a"
"130"	"Ordnung"	"Ordnung"	"NN"	"nsf"
"87"	"organisieren"	"organisieren"	"VVINF"	"--"
"427"	"Otto"	"Otto"	"NE"	"dsm"
"512"	"Pagh-Paan"	"Pagh-Paan"	"NE"	"nsm"
"555"	"Pagh-Paan"	"Pagh-Paan"	"NE"	"nsm"
"461"	"Piano"	"Piano"	"NN"	"nsn"
"42"	"Plantage"	"Plantage"	"NN"	"dsf"
"91"	"primär"	"primär"	"ADJD"	"--"
"3"	"Prinzips"	"Prinzip"	"NN"	"gsn"
"32"	"privaten"	"privat"	"ADJA"	"gsf"
"63"	"Privatleute"	"Privatleute"	"NN"	"np*"
"68"	"pro"	"pro"	"APPR"	"a"
"244"	"projektgruppe"	"Projektgruppe"	"NN"	"nsf"
"436"	"Qual"	"Qual"	"NN"	"asf"
"283"	"Qualität"	"Qualität"	"NN"	"asf"
"189"	"Räumen"	"Raum"	"NN"	"dpm"
"19"	"Rabus"	"Rabus"	"NE"	"nsf"
"47"	"Rabus"	"Rabus"	"NE"	"nsf"
"112"	"Rabus"	"Rabus"	"NE"	"dsf"
"166"	"Rabus"	"Rabus"	"NE"	"gsm"
"261"	"Rabus"	"Rabus"	"NE"	"dsf"
"289"	"Rabus"	"Rabus"	"NE"	"nsf"
"349"	"Rabus"	"Rabus"	"NE"	"nsf"
"210"	"Radio-Mitschnitte"	"Radio-Mitschnitt"	"NN"	"npm"
"415"	"Raimund"	"Raimund"	"NE"	"dsm"
"1"	"Recherche"	"Recherche"	"NN"	"nsf"
"443"	"Recherche"	"Recherche"	"NE"	"nsn"
"579"	"Recherche"	"Recherche"	"NE"	"dsn"
"134"	"Reduktion"	"Reduktion"	"NN"	"nsf"
"446"	"Rihms"	"Rihm"	"NE"	"gsm"
"115"	"Rolle"	"Rolle"	"NN"	"asf"
"505"	"Roman"	"Roman"	"NE"	"nsm"
"412"	"Rupprecht"	"Rupprecht"	"NE"	"dsm"
"495"	"Sa."	"Sa."	"NN"	"nsm"
"422"	"Scaccabarozzi"	"Scaccabarozzi"	"NE"	"dsm"
"591"	"Schalz-Laurenze"	"Schalz-Laurenze"	"NE"	"nsf"
"488"	"schon"	"schon"	"ADV"	"--"
"322"	"Schwesternkünste"	"Schwesternkunst"	"NN"	"npf"
"12"	"sehen"	"sehen"	"VVINF"	"--"
"405"	"sehen"	"sehen"	"VVINF"	"--"
"204"	"sein"	"sein"	"VAINF"	"--"
"362"	"sein"	"sein"	"VAINF"	"--"
"240"	"Seit"	"seit"	"APPR"	"d"
"11"	"selbst"	"selbst"	"ADV"	"--"
"364"	"Selbsterkenntnis"	"Selbsterkenntnis"	"NN"	"asf"
"120"	"selbstredend"	"selbstredend"	"ADJD"	"--"
"561"	"Serynade"	"Serynade"	"NE"	"ns*"
"21"	"sich"	"#refl"	"PRF"	"ds*3"
"140"	"sich"	"#refl"	"PRF"	"ds*3"
"313"	"sich"	"#refl"	"PRF"	"as*3"
"139"	"sie"	"sie"	"PPER"	"nsf3"
"338"	"sie"	"sie"	"PPER"	"nsf3"
"369"	"sie"	"sie"	"PPER"	"nsf3"
"263"	"sind"	"sein%aux"	"VAFIN"	"3pis"
"276"	"sind"	"sein"	"VAFIN"	"3pis"
"481"	"sind"	"sein%aux"	"VAFIN"	"3pis"
"575"	"sind"	"sein%aux"	"VAFIN"	"3pis"
"387"	"so"	"so"	"ADV"	"--"
"286"	"So"	"so"	"ADV"	"--"
"517"	"So."	"So."	"NN"	"nsm"
"149"	"sollte"	"sollen%aux"	"VMFIN"	"3sit"
"100"	"sondern"	"sondern"	"KON"	"--"
"36"	"später"	"später"	"ADJD"	"--"
"444"	"spielt"	"spielen"	"VVFIN"	"3sis"
"425"	"Spohr"	"Spohr"	"NE"	"dsm"
"236"	"ständig"	"ständig"	"ADJD"	"--"
"502"	"Stefan"	"Stefan"	"NE"	"nsm"
"508"	"Stefan"	"Stefan"	"NE"	"nsm"
"238"	"steigern"	"steigern"	"VVINF"	"--"
"275"	"Stets"	"stets"	"ADV"	"--"
"122"	"Stils"	"Stil"	"NN"	"gsm"
"522"	"Stockhausen"	"Stockhausen"	"NE"	"nsm"
"34"	"Straße"	"Straße"	"NN"	"gsf"
"451"	"Streicher"	"Streicher"	"NN"	"apm"
"366"	"subjektives"	"subjektiv"	"ADJA"	"asn"
"568"	"Sugawara"	"Sugawara"	"NE"	"dsf"
"353"	"Thematische"	"thematisch"	"ADJA"	"apf"
"346"	"Trotzdem"	"trotzdem"	"PROP"	"--"
"325"	"tun"	"tun"	"VVINF"	"--"
"457"	"Uhr"	"Uhr"	"NN"	"nsf"
"477"	"Uhr"	"Uhr"	"NN"	"nsf"
"500"	"Uhr"	"Uhr"	"NN"	"nsf"
"520"	"Uhr"	"Uhr"	"NN"	"nsf"
"38"	"umgebauten"	"umgebaut"	"ADJA"	"dsn"
"13"	"und"	"und"	"KON"	"--"
"71"	"und"	"und"	"KON"	"--"
"133"	"und"	"und"	"KON"	"--"
"170"	"und"	"und"	"KON"	"--"
"217"	"und"	"und"	"KON"	"--"
"267"	"und"	"und"	"KON"	"--"
"365"	"und"	"und"	"KON"	"--"
"371"	"und"	"und"	"KON"	"--"
"379"	"und"	"und"	"KON"	"--"
"426"	"und"	"und"	"KON"	"--"
"459"	"und"	"und"	"KON"	"--"
"556"	"und"	"und"	"KON"	"--"
"572"	"und"	"und"	"KON"	"--"
"309"	"Und"	"und"	"KON"	"--"
"382"	"Und"	"und"	"KON"	"--"
"590"	"Ute"	"Ute"	"NE"	"nsf"
"524"	"Varese"	"Varese"	"NE"	"nsm"
"307"	"veranlassen"	"veranlassen"	"VVINF"	"--"
"271"	"veranstalten"	"veranstalten"	"VVFIN"	"3pis"
"394"	"Veranstaltungsmarathon"	"Veranstaltungsmarathon"	"NN"	"dsm"
"299"	"verführen"	"verführen"	"VVINF"	"--"
"316"	"verfestigt"	"verfestigen"	"VVPP"	"--"
"220"	"Verhandlungen"	"Verhandlung"	"NN"	"npf"
"93"	"Verkauf"	"Verkauf"	"NN"	"asm"
"212"	"Vermietungen"	"Vermietung"	"NN"	"npf"
"156"	"verschiedenen"	"verschieden"	"ADJA"	"dpm"
"484"	"vetreten"	"vertreten"	"VVPP"	"--"
"319"	"viel"	"viel"	"PIS"	"***"
"258"	"viele"	"viele"	"PIS"	"np*"
"390"	"viele"	"viele"	"PIS"	"np*"
"466"	"Viola"	"Viola"	"NN"	"nsf"
"463"	"Violin"	"Violin"	"NN"	"nsn"
"255"	"von"	"von"	"APPR"	"d"
"297"	"von"	"von"	"APPR"	"d"
"408"	"von"	"von"	"APPR"	"d"
"470"	"von"	"von"	"APPR"	"d"
